,distribution_id,url,size,error
0,educacion_40.4,https://www.argentina.gob.ar/sites/default/files/anuario1999.zip,,Unsupported content type: application/zip
1,educacion_40.8,https://www.argentina.gob.ar/sites/default/files/anuario_2003.zip,,Unsupported content type: application/zip
2,educacion_40.7,https://www.argentina.gob.ar/sites/default/files/anuario2002.zip,,Unsupported content type: application/zip
3,educacion_40.9,https://www.argentina.gob.ar/sites/default/files/anuario_2004.zip,,Unsupported content type: application/zip
4,educacion_40.3,https://www.argentina.gob.ar/sites/default/files/anuario1998.zip,,Unsupported content type: application/zip
5,educacion_40.2,https://www.argentina.gob.ar/sites/default/files/anuario1997.zip,,Unsupported content type: application/zip
6,educacion_40.1,https://www.argentina.gob.ar/sites/default/files/anuario1996.zip,,Unsupported content type: application/zip
7,educacion_40.5,https://www.argentina.gob.ar/sites/default/files/anuario2000.zip,,Unsupported content type: application/zip
8,educacion_40.6,https://www.argentina.gob.ar/sites/default/files/anuario2001.zip,,Unsupported content type: application/zip
9,educacion_40.10,https://www.argentina.gob.ar/sites/default/files/anuario2005-.zip,,Unsupported content type: application/zip
10,educacion_40.11,https://www.argentina.gob.ar/sites/default/files/anuario-2006.rar,,Unsupported content type: application/x-rar-compressed
11,educacion_40.17,https://www.argentina.gob.ar/sites/default/files/anuario-2012.rar,,Unsupported content type: application/x-rar-compressed
12,educacion_40.12,https://www.argentina.gob.ar/sites/default/files/anuario_2007.rar,,Unsupported content type: application/x-rar-compressed
13,educacion_40.15,https://www.argentina.gob.ar/sites/default/files/anuario-definitivo-2010-agosto-2011.rar,,Unsupported content type: application/x-rar-compressed
14,educacion_40.18,https://www.argentina.gob.ar/sites/default/files/anuario_2013.rar,,Unsupported content type: application/x-rar-compressed
15,educacion_40.13,https://www.argentina.gob.ar/sites/default/files/anuario_2008.rar,,Unsupported content type: application/x-rar-compressed
16,educacion_40.16,https://www.argentina.gob.ar/sites/default/files/anuario-2011.rar,,Unsupported content type: application/x-rar-compressed
17,educacion_40.19,https://www.argentina.gob.ar/sites/default/files/anuario_2014.rar,,Unsupported content type: application/x-rar-compressed
18,educacion_40.20,https://www.argentina.gob.ar/sites/default/files/anuario-preliminar-2015.zip,,Unsupported content type: application/zip
19,educacion_40.14,https://www.argentina.gob.ar/sites/default/files/anuario_2009.rar,,Unsupported content type: application/x-rar-compressed
20,educacion_40.21,https://www.argentina.gob.ar/sites/default/files/anuario-_2016.rar,,Unsupported content type: application/x-rar-compressed
21,educacion_40.22,https://www.argentina.gob.ar/sites/default/files/2018/04/anuario_2017.zip,,Unsupported content type: application/zip
22,educacion_40.23,https://www.argentina.gob.ar/sites/default/files/2018/04/anuario_2018.zip,,Unsupported content type: application/zip
23,educacion_40.26,https://www.argentina.gob.ar/sites/default/files/2018/04/anuario_2021.zip,,Unsupported content type: application/zip
24,educacion_40.25,https://www.argentina.gob.ar/sites/default/files/anuario_2020_0.zip,,Unsupported content type: application/zip
25,educacion_40.28,https://www.argentina.gob.ar/sites/default/files/anuario_2023.zip,,Unsupported content type: application/zip
26,educacion_40.24,https://www.argentina.gob.ar/sites/default/files/2018/04/anuario_2019.zip,,Unsupported content type: application/zip
27,educacion_40.27,https://www.argentina.gob.ar/sites/default/files/2018/04/anuario_2022.zip,,Unsupported content type: application/zip
28,educacion_28.1,https://www.argentina.gob.ar/sites/default/files/censo-94.rar,,Unsupported content type: application/x-rar-compressed
29,educacion_28.2,https://www.argentina.gob.ar/sites/default/files/docentes_1994-2014.pdf,,Unsupported content type: application/pdf
30,educacion_28.3,https://www.argentina.gob.ar/sites/default/files/cenpe-2014-resultados-preliminares_0.pdf,,Unsupported content type: application/pdf
31,educacion_28.4,https://www.argentina.gob.ar/sites/default/files/censo_resultados_definitivos_2004.pdf,,Unsupported content type: application/pdf
32,educacion_28.5,https://www.argentina.gob.ar/sites/default/files/cenpe_2014.zip,,Unsupported content type: application/zip
33,educacion_28.6,https://www.argentina.gob.ar/sites/default/files/cnd_2004.pdf,,Unsupported content type: application/pdf
34,educacion_24.3,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EQGSyzQkoZ9LlKRi3E2I0xkBpymx13-6Ko3Xtv5lyaFllw?e=R5cyyR,,Unsupported content type: text/html; charset=utf-8
35,educacion_24.2,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EWn8zQ7VhpNHjEQ1771owisB7gFAsgERNBxJ28VdmA5TIg?e=NFoShr,,Unsupported content type: text/html; charset=utf-8
36,educacion_24.5,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EVaJ9Cm9QzdAuT-lLoykLPEBz_0k9d8kaB73xS5kd5hLIw?e=ym0ObV,,Unsupported content type: text/html; charset=utf-8
37,educacion_24.1,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EUaVkV5ohQBKiYElrpEaD9sBU0P6aM-OvXO1hPs_2yv-Ug?e=wotAee,,Unsupported content type: text/html; charset=utf-8
38,educacion_24.4,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ET2Ivk8yETpFlFXLNUNQwbUBVFSwOHG7jEDvhZ15NNo1hQ?e=e1HNZQ,,Unsupported content type: text/html; charset=utf-8
39,educacion_24.6,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ESyzHlUB-ihJoLJx0P9uAaMBr1IV4L6IeD4mEr8RG_aSoA?e=vS6c0r,,Unsupported content type: text/html; charset=utf-8
40,educacion_24.7,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EStmbvAm2zlFjL_xt_L9KN0BBnSHr2fE6pj-87xxh3-jVA?e=xCa9Yz,,Unsupported content type: text/html; charset=utf-8
41,educacion_31.1,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EViAJm34IVFGhMgqRXId_ToByPXa3QzPo00BVTQ3qxD7Lg?e=2tRz7x,,Unsupported content type: text/html; charset=utf-8
